Strain,Concentration,Replicate,Date,Transfer,Date_long,Date_short
A02,R01,0,24-Sep,1,2021-09-24,24-Sep-21
A02,R02,0,24-Sep,1,2021-09-24,24-Sep-21
A02,R03,0,24-Sep,1,2021-09-24,24-Sep-21
A02,R04,0,24-Sep,1,2021-09-24,24-Sep-21
A02,R05,0,24-Sep,1,2021-09-24,24-Sep-21
A02,R06,0,24-Sep,1,2021-09-24,24-Sep-21
A02,R07,0,24-Sep,1,2021-09-24,24-Sep-21
A02,R08,0,24-Sep,1,2021-09-24,24-Sep-21
A02,R09,0,24-Sep,1,2021-09-24,24-Sep-21
A02,R10,0,24-Sep,1,2021-09-24,24-Sep-21
A02,R11,0,24-Sep,1,2021-09-24,24-Sep-21
A02,R12,0,24-Sep,1,2021-09-24,24-Sep-21
A02,R01,0.391,25-Sep,2,2021-09-25,25-Sep-21
A02,R02,0.391,25-Sep,2,2021-09-25,25-Sep-21
A02,R03,0.391,25-Sep,2,2021-09-25,25-Sep-21
A02,R04,0.391,25-Sep,2,2021-09-25,25-Sep-21
A02,R05,0.391,25-Sep,2,2021-09-25,25-Sep-21
A02,R06,0.391,26-Sep,2,2021-09-26,26-Sep-21
A02,R07,0.391,25-Sep,2,2021-09-25,25-Sep-21
A02,R08,0.391,26-Sep,2,2021-09-26,26-Sep-21
A02,R09,0.391,26-Sep,2,2021-09-26,26-Sep-21
A02,R10,0.391,26-Sep,2,2021-09-26,26-Sep-21
A02,R11,0.391,26-Sep,2,2021-09-26,26-Sep-21
A02,R12,0.391,26-Sep,2,2021-09-26,26-Sep-21
A02,R01,0.391,26-Sep,3,2021-09-26,26-Sep-21
A02,R02,0.391,26-Sep,3,2021-09-26,26-Sep-21
A02,R03,0.391,26-Sep,3,2021-09-26,26-Sep-21
A02,R04,0.391,26-Sep,3,2021-09-26,26-Sep-21
A02,R05,0.391,26-Sep,3,2021-09-26,26-Sep-21
A02,R07,0.391,26-Sep,3,2021-09-26,26-Sep-21
A02,R08,0.391,27-Sep,3,2021-09-27,27-Sep-21
A02,R09,0.391,27-Sep,3,2021-09-27,27-Sep-21
A02,R10,0.391,27-Sep,3,2021-09-27,27-Sep-21
A02,R11,0.391,27-Sep,3,2021-09-27,27-Sep-21
A02,R12,0.391,27-Sep,3,2021-09-27,27-Sep-21
A02,R01,0.78,30-Sep,4,2021-09-30,30-Sep-21
A02,R02,0.78,30-Sep,4,2021-09-30,30-Sep-21
A02,R03,0.78,30-Sep,4,2021-09-30,30-Sep-21
A02,R04,0.78,30-Sep,4,2021-09-30,30-Sep-21
A02,R05,0.78,30-Sep,4,2021-09-30,30-Sep-21
A02,R07,0.78,30-Sep,4,2021-09-30,30-Sep-21
A02,R08,0.78,30-Sep,4,2021-09-30,30-Sep-21
A02,R09,0.78,30-Sep,4,2021-09-30,30-Sep-21
A02,R10,0.78,30-Sep,4,2021-09-30,30-Sep-21
A02,R11,0.78,30-Sep,4,2021-09-30,30-Sep-21
A02,R12,0.78,30-Sep,4,2021-09-30,30-Sep-21
A02,R01,0.78,02-Oct,5,2021-10-02,2-Oct-21
A02,R02,0.78,02-Oct,5,2021-10-02,2-Oct-21
A02,R03,0.78,02-Oct,5,2021-10-02,2-Oct-21
A02,R04,0.78,02-Oct,5,2021-10-02,2-Oct-21
A02,R05,0.78,02-Oct,5,2021-10-02,2-Oct-21
A02,R07,0.78,02-Oct,5,2021-10-02,2-Oct-21
A02,R08,0.78,02-Oct,5,2021-10-02,2-Oct-21
A02,R09,0.78,02-Oct,5,2021-10-02,2-Oct-21
A02,R10,0.78,02-Oct,5,2021-10-02,2-Oct-21
A02,R11,0.78,02-Oct,5,2021-10-02,2-Oct-21
A02,R01,1.56,07-Oct,6,2021-10-07,7-Oct-21
A02,R02,1.56,07-Oct,6,2021-10-07,7-Oct-21
A02,R03,1.56,07-Oct,6,2021-10-07,7-Oct-21
A02,R04,1.56,07-Oct,6,2021-10-07,7-Oct-21
A02,R05,1.56,07-Oct,6,2021-10-07,7-Oct-21
A02,R07,1.56,07-Oct,6,2021-10-07,7-Oct-21
A02,R08,1.56,07-Oct,6,2021-10-07,7-Oct-21
A02,R09,1.56,07-Oct,6,2021-10-07,7-Oct-21
A02,R10,1.56,07-Oct,6,2021-10-07,7-Oct-21
A02,R11,1.56,07-Oct,6,2021-10-07,7-Oct-21
A03,R01,0,24-Sep,1,2021-09-24,24-Sep-21
A03,R02,0,24-Sep,1,2021-09-24,24-Sep-21
A03,R03,0,24-Sep,1,2021-09-24,24-Sep-21
A03,R04,0,24-Sep,1,2021-09-24,24-Sep-21
A03,R05,0,24-Sep,1,2021-09-24,24-Sep-21
A03,R06,0,24-Sep,1,2021-09-24,24-Sep-21
A03,R07,0,24-Sep,1,2021-09-24,24-Sep-21
A03,R08,0,24-Sep,1,2021-09-24,24-Sep-21
A03,R09,0,24-Sep,1,2021-09-24,24-Sep-21
A03,R10,0,24-Sep,1,2021-09-24,24-Sep-21
A03,R11,0,24-Sep,1,2021-09-24,24-Sep-21
A03,R12,0,24-Sep,1,2021-09-24,24-Sep-21
A03,R01,0.391,25-Sep,2,2021-09-25,25-Sep-21
A03,R02,0.391,25-Sep,2,2021-09-25,25-Sep-21
A03,R03,0.391,25-Sep,2,2021-09-25,25-Sep-21
A03,R04,0.391,25-Sep,2,2021-09-25,25-Sep-21
A03,R05,0.391,25-Sep,2,2021-09-25,25-Sep-21
A03,R06,0.391,25-Sep,2,2021-09-25,25-Sep-21
A03,R07,0.391,25-Sep,2,2021-09-25,25-Sep-21
A03,R08,0.391,25-Sep,2,2021-09-25,25-Sep-21
A03,R09,0.391,25-Sep,2,2021-09-25,25-Sep-21
A03,R10,0.391,25-Sep,2,2021-09-25,25-Sep-21
A03,R11,0.391,25-Sep,2,2021-09-25,25-Sep-21
A03,R12,0.391,25-Sep,2,2021-09-25,25-Sep-21
A03,R01,0.391,26-Sep,3,2021-09-26,26-Sep-21
A03,R02,0.391,26-Sep,3,2021-09-26,26-Sep-21
A03,R03,0.391,26-Sep,3,2021-09-26,26-Sep-21
A03,R04,0.391,26-Sep,3,2021-09-26,26-Sep-21
A03,R05,0.391,26-Sep,3,2021-09-26,26-Sep-21
A03,R06,0.391,26-Sep,3,2021-09-26,26-Sep-21
A03,R07,0.391,26-Sep,3,2021-09-26,26-Sep-21
A03,R08,0.391,26-Sep,3,2021-09-26,26-Sep-21
A03,R09,0.391,26-Sep,3,2021-09-26,26-Sep-21
A03,R10,0.391,26-Sep,3,2021-09-26,26-Sep-21
A03,R11,0.391,26-Sep,3,2021-09-26,26-Sep-21
A03,R12,0.391,26-Sep,3,2021-09-26,26-Sep-21
A03,R01,0.78,30-Sep,4,2021-09-30,30-Sep-21
A03,R02,0.78,30-Sep,4,2021-09-30,30-Sep-21
A03,R03,0.78,30-Sep,4,2021-09-30,30-Sep-21
A03,R04,0.78,30-Sep,4,2021-09-30,30-Sep-21
A03,R05,0.78,30-Sep,4,2021-09-30,30-Sep-21
A03,R06,0.78,30-Sep,4,2021-09-30,30-Sep-21
A03,R07,0.78,30-Sep,4,2021-09-30,30-Sep-21
A03,R08,0.78,30-Sep,4,2021-09-30,30-Sep-21
A03,R09,0.78,30-Sep,4,2021-09-30,30-Sep-21
A03,R10,0.78,30-Sep,4,2021-09-30,30-Sep-21
A03,R11,0.78,30-Sep,4,2021-09-30,30-Sep-21
A03,R12,0.78,30-Sep,4,2021-09-30,30-Sep-21
A03,R01,0.78,02-Oct,5,2021-10-02,2-Oct-21
A03,R02,0.78,02-Oct,5,2021-10-02,2-Oct-21
A03,R03,0.78,02-Oct,5,2021-10-02,2-Oct-21
A03,R04,0.78,02-Oct,5,2021-10-02,2-Oct-21
A03,R05,0.78,02-Oct,5,2021-10-02,2-Oct-21
A03,R06,0.78,02-Oct,5,2021-10-02,2-Oct-21
A03,R07,0.78,02-Oct,5,2021-10-02,2-Oct-21
A03,R08,0.78,02-Oct,5,2021-10-02,2-Oct-21
A03,R09,0.78,02-Oct,5,2021-10-02,2-Oct-21
A03,R10,0.78,02-Oct,5,2021-10-02,2-Oct-21
A03,R11,0.78,02-Oct,5,2021-10-02,2-Oct-21
A03,R12,0.78,02-Oct,5,2021-10-02,2-Oct-21
A03,R01,1.56,07-Oct,6,2021-10-07,7-Oct-21
A03,R02,1.56,07-Oct,6,2021-10-07,7-Oct-21
A03,R03,1.56,07-Oct,6,2021-10-07,7-Oct-21
A03,R04,1.56,07-Oct,6,2021-10-07,7-Oct-21
A03,R05,1.56,07-Oct,6,2021-10-07,7-Oct-21
A03,R06,1.56,07-Oct,6,2021-10-07,7-Oct-21
A03,R07,1.56,07-Oct,6,2021-10-07,7-Oct-21
A03,R08,1.56,07-Oct,6,2021-10-07,7-Oct-21
A03,R09,1.56,07-Oct,6,2021-10-07,7-Oct-21
A03,R10,1.56,07-Oct,6,2021-10-07,7-Oct-21
A03,R11,1.56,07-Oct,6,2021-10-07,7-Oct-21
A04,R01,0,24-Sep,1,2021-09-24,24-Sep-21
A04,R02,0,24-Sep,1,2021-09-24,24-Sep-21
A04,R03,0,24-Sep,1,2021-09-24,24-Sep-21
A04,R04,0,24-Sep,1,2021-09-24,24-Sep-21
A04,R05,0,24-Sep,1,2021-09-24,24-Sep-21
A04,R06,0,24-Sep,1,2021-09-24,24-Sep-21
A04,R07,0,24-Sep,1,2021-09-24,24-Sep-21
A04,R08,0,24-Sep,1,2021-09-24,24-Sep-21
A04,R09,0,24-Sep,1,2021-09-24,24-Sep-21
A04,R10,0,24-Sep,1,2021-09-24,24-Sep-21
A04,R11,0,24-Sep,1,2021-09-24,24-Sep-21
A04,R12,0,24-Sep,1,2021-09-24,24-Sep-21
A04,R01,0.391,25-Sep,2,2021-09-25,25-Sep-21
A04,R02,0.391,25-Sep,2,2021-09-25,25-Sep-21
A04,R03,0.391,25-Sep,2,2021-09-25,25-Sep-21
A04,R04,0.391,25-Sep,2,2021-09-25,25-Sep-21
A04,R05,0.391,25-Sep,2,2021-09-25,25-Sep-21
A04,R06,0.391,25-Sep,2,2021-09-25,25-Sep-21
A04,R07,0.391,26-Sep,2,2021-09-26,26-Sep-21
A04,R08,0.391,26-Sep,2,2021-09-26,26-Sep-21
A04,R09,0.391,25-Sep,2,2021-09-25,25-Sep-21
A04,R10,0.391,25-Sep,2,2021-09-25,25-Sep-21
A04,R11,0.391,26-Sep,2,2021-09-26,26-Sep-21
A04,R12,0.391,26-Sep,2,2021-09-26,26-Sep-21
A04,R01,0.391,26-Sep,3,2021-09-26,26-Sep-21
A04,R02,0.391,26-Sep,3,2021-09-26,26-Sep-21
A04,R03,0.391,26-Sep,3,2021-09-26,26-Sep-21
A04,R04,0.391,26-Sep,3,2021-09-26,26-Sep-21
A04,R05,0.391,26-Sep,3,2021-09-26,26-Sep-21
A04,R06,0.391,26-Sep,3,2021-09-26,26-Sep-21
A04,R07,0.391,27-Sep,3,2021-09-27,27-Sep-21
A04,R08,0.391,27-Sep,3,2021-09-27,27-Sep-21
A04,R09,0.391,26-Sep,3,2021-09-26,26-Sep-21
A04,R10,0.391,26-Sep,3,2021-09-26,26-Sep-21
A04,R11,0.391,27-Sep,3,2021-09-27,27-Sep-21
A04,R12,0.391,27-Sep,3,2021-09-27,27-Sep-21
A04,R01,0.78,30-Sep,4,2021-09-30,30-Sep-21
A04,R02,0.78,27-Sep,4,2021-09-27,27-Sep-21
A04,R03,0.78,27-Sep,4,2021-09-27,27-Sep-21
A04,R04,0.78,27-Sep,4,2021-09-27,27-Sep-21
A04,R05,0.78,30-Sep,4,2021-09-30,30-Sep-21
A04,R06,0.78,30-Sep,4,2021-09-30,30-Sep-21
A04,R07,0.78,30-Sep,4,2021-09-30,30-Sep-21
A04,R08,0.78,30-Sep,4,2021-09-30,30-Sep-21
A04,R09,0.78,30-Sep,4,2021-09-30,30-Sep-21
A04,R10,0.78,30-Sep,4,2021-09-30,30-Sep-21
A04,R11,0.78,30-Sep,4,2021-09-30,30-Sep-21
A04,R12,0.78,30-Sep,4,2021-09-30,30-Sep-21
A04,R01,0.78,02-Oct,5,2021-10-02,2-Oct-21
A04,R02,0.78,30-Sep,5,2021-09-30,30-Sep-21
A04,R03,0.78,30-Sep,5,2021-09-30,30-Sep-21
A04,R04,0.78,30-Sep,5,2021-09-30,30-Sep-21
A04,R05,0.78,02-Oct,5,2021-10-02,2-Oct-21
A04,R06,0.78,02-Oct,5,2021-10-02,2-Oct-21
A04,R07,0.78,02-Oct,5,2021-10-02,2-Oct-21
A04,R08,0.78,02-Oct,5,2021-10-02,2-Oct-21
A04,R09,0.78,02-Oct,5,2021-10-02,2-Oct-21
A04,R10,0.78,02-Oct,5,2021-10-02,2-Oct-21
A04,R11,0.78,02-Oct,5,2021-10-02,2-Oct-21
A04,R12,0.78,02-Oct,5,2021-10-02,2-Oct-21
A04,R02,1.56,03-Oct,6,2021-10-03,3-Oct-21
A04,R03,1.56,03-Oct,6,2021-10-03,3-Oct-21
A04,R04,1.56,03-Oct,6,2021-10-03,3-Oct-21
A04,R05,1.56,03-Oct,6,2021-10-03,3-Oct-21
A04,R06,1.56,03-Oct,6,2021-10-03,3-Oct-21
A04,R07,1.56,03-Oct,6,2021-10-03,3-Oct-21
A04,R08,1.56,03-Oct,6,2021-10-03,3-Oct-21
A04,R09,1.56,03-Oct,6,2021-10-03,3-Oct-21
A04,R10,1.56,03-Oct,6,2021-10-03,3-Oct-21
A08,R01,0,24-Sep,1,2021-09-24,24-Sep-21
A08,R02,0,24-Sep,1,2021-09-24,24-Sep-21
A08,R03,0,24-Sep,1,2021-09-24,24-Sep-21
A08,R04,0,24-Sep,1,2021-09-24,24-Sep-21
A08,R05,0,24-Sep,1,2021-09-24,24-Sep-21
A08,R06,0,24-Sep,1,2021-09-24,24-Sep-21
A08,R07,0,24-Sep,1,2021-09-24,24-Sep-21
A08,R08,0,24-Sep,1,2021-09-24,24-Sep-21
A08,R09,0,24-Sep,1,2021-09-24,24-Sep-21
A08,R10,0,24-Sep,1,2021-09-24,24-Sep-21
A08,R11,0,24-Sep,1,2021-09-24,24-Sep-21
A08,R12,0,24-Sep,1,2021-09-24,24-Sep-21
A08,R01,0.391,25-Sep,2,2021-09-25,25-Sep-21
A08,R02,0.391,25-Sep,2,2021-09-25,25-Sep-21
A08,R03,0.391,25-Sep,2,2021-09-25,25-Sep-21
A08,R04,0.391,25-Sep,2,2021-09-25,25-Sep-21
A08,R05,0.391,25-Sep,2,2021-09-25,25-Sep-21
A08,R06,0.391,25-Sep,2,2021-09-25,25-Sep-21
A08,R07,0.391,25-Sep,2,2021-09-25,25-Sep-21
A08,R08,0.391,25-Sep,2,2021-09-25,25-Sep-21
A08,R09,0.391,25-Sep,2,2021-09-25,25-Sep-21
A08,R10,0.391,25-Sep,2,2021-09-25,25-Sep-21
A08,R11,0.391,25-Sep,2,2021-09-25,25-Sep-21
A08,R12,0.391,25-Sep,2,2021-09-25,25-Sep-21
A08,R01,0.391,26-Sep,3,2021-09-26,26-Sep-21
A08,R02,0.391,26-Sep,3,2021-09-26,26-Sep-21
A08,R03,0.391,26-Sep,3,2021-09-26,26-Sep-21
A08,R04,0.391,26-Sep,3,2021-09-26,26-Sep-21
A08,R05,0.391,26-Sep,3,2021-09-26,26-Sep-21
A08,R06,0.391,26-Sep,3,2021-09-26,26-Sep-21
A08,R07,0.391,26-Sep,3,2021-09-26,26-Sep-21
A08,R08,0.391,26-Sep,3,2021-09-26,26-Sep-21
A08,R09,0.391,26-Sep,3,2021-09-26,26-Sep-21
A08,R10,0.391,26-Sep,3,2021-09-26,26-Sep-21
A08,R11,0.391,26-Sep,3,2021-09-26,26-Sep-21
A08,R12,0.391,26-Sep,3,2021-09-26,26-Sep-21
A08,R01,0.78,30-Sep,4,2021-09-30,30-Sep-21
A08,R02,0.78,30-Sep,4,2021-09-30,30-Sep-21
A08,R03,0.78,30-Sep,4,2021-09-30,30-Sep-21
A08,R04,0.78,30-Sep,4,2021-09-30,30-Sep-21
A08,R05,0.78,30-Sep,4,2021-09-30,30-Sep-21
A08,R06,0.78,30-Sep,4,2021-09-30,30-Sep-21
A08,R07,0.78,30-Sep,4,2021-09-30,30-Sep-21
A08,R08,0.78,30-Sep,4,2021-09-30,30-Sep-21
A08,R09,0.78,30-Sep,4,2021-09-30,30-Sep-21
A08,R10,0.78,30-Sep,4,2021-09-30,30-Sep-21
A08,R11,0.78,30-Sep,4,2021-09-30,30-Sep-21
A08,R12,0.78,30-Sep,4,2021-09-30,30-Sep-21
A08,R01,0.78,02-Oct,5,2021-10-02,2-Oct-21
A08,R02,0.78,02-Oct,5,2021-10-02,2-Oct-21
A08,R03,0.78,02-Oct,5,2021-10-02,2-Oct-21
A08,R04,0.78,02-Oct,5,2021-10-02,2-Oct-21
A08,R05,0.78,02-Oct,5,2021-10-02,2-Oct-21
A08,R06,0.78,02-Oct,5,2021-10-02,2-Oct-21
A08,R07,0.78,02-Oct,5,2021-10-02,2-Oct-21
A08,R08,0.78,02-Oct,5,2021-10-02,2-Oct-21
A08,R10,0.78,02-Oct,5,2021-10-02,2-Oct-21
A08,R11,0.78,02-Oct,5,2021-10-02,2-Oct-21
A08,R12,0.78,02-Oct,5,2021-10-02,2-Oct-21
A10,R01,0,24-Sep,1,2021-09-24,24-Sep-21
A10,R02,0,24-Sep,1,2021-09-24,24-Sep-21
A10,R03,0,24-Sep,1,2021-09-24,24-Sep-21
A10,R04,0,24-Sep,1,2021-09-24,24-Sep-21
A10,R05,0,24-Sep,1,2021-09-24,24-Sep-21
A10,R06,0,24-Sep,1,2021-09-24,24-Sep-21
A10,R07,0,24-Sep,1,2021-09-24,24-Sep-21
A10,R08,0,24-Sep,1,2021-09-24,24-Sep-21
A10,R09,0,24-Sep,1,2021-09-24,24-Sep-21
A10,R10,0,24-Sep,1,2021-09-24,24-Sep-21
A10,R11,0,24-Sep,1,2021-09-24,24-Sep-21
A10,R12,0,24-Sep,1,2021-09-24,24-Sep-21
A10,R01,0.391,25-Sep,2,2021-09-25,25-Sep-21
A10,R02,0.391,25-Sep,2,2021-09-25,25-Sep-21
A10,R03,0.391,25-Sep,2,2021-09-25,25-Sep-21
A10,R04,0.391,25-Sep,2,2021-09-25,25-Sep-21
A10,R05,0.391,25-Sep,2,2021-09-25,25-Sep-21
A10,R06,0.391,25-Sep,2,2021-09-25,25-Sep-21
A10,R07,0.391,25-Sep,2,2021-09-25,25-Sep-21
A10,R08,0.391,25-Sep,2,2021-09-25,25-Sep-21
A10,R09,0.391,25-Sep,2,2021-09-25,25-Sep-21
A10,R10,0.391,25-Sep,2,2021-09-25,25-Sep-21
A10,R11,0.391,25-Sep,2,2021-09-25,25-Sep-21
A10,R12,0.391,26-Sep,2,2021-09-26,26-Sep-21
A10,R01,0.391,26-Sep,3,2021-09-26,26-Sep-21
A10,R02,0.391,26-Sep,3,2021-09-26,26-Sep-21
A10,R03,0.391,26-Sep,3,2021-09-26,26-Sep-21
A10,R04,0.391,26-Sep,3,2021-09-26,26-Sep-21
A10,R05,0.391,26-Sep,3,2021-09-26,26-Sep-21
A10,R06,0.391,26-Sep,3,2021-09-26,26-Sep-21
A10,R07,0.391,26-Sep,3,2021-09-26,26-Sep-21
A10,R08,0.391,26-Sep,3,2021-09-26,26-Sep-21
A10,R09,0.391,26-Sep,3,2021-09-26,26-Sep-21
A10,R10,0.391,26-Sep,3,2021-09-26,26-Sep-21
A10,R11,0.391,26-Sep,3,2021-09-26,26-Sep-21
A10,R12,0.391,27-Sep,3,2021-09-27,27-Sep-21
A10,R01,0.78,30-Sep,4,2021-09-30,30-Sep-21
A10,R02,0.78,30-Sep,4,2021-09-30,30-Sep-21
A10,R03,0.78,30-Sep,4,2021-09-30,30-Sep-21
A10,R04,0.78,30-Sep,4,2021-09-30,30-Sep-21
A10,R05,0.78,30-Sep,4,2021-09-30,30-Sep-21
A10,R06,0.78,30-Sep,4,2021-09-30,30-Sep-21
A10,R07,0.78,30-Sep,4,2021-09-30,30-Sep-21
A10,R08,0.78,30-Sep,4,2021-09-30,30-Sep-21
A10,R09,0.78,30-Sep,4,2021-09-30,30-Sep-21
A10,R10,0.78,30-Sep,4,2021-09-30,30-Sep-21
A10,R11,0.78,30-Sep,4,2021-09-30,30-Sep-21
A10,R12,0.78,30-Sep,4,2021-09-30,30-Sep-21
A10,R01,0.78,02-Oct,5,2021-10-02,2-Oct-21
