Strain,Replicate,Concentration,Date_short,Date_long,Date
A02,R01,0.78,10-Oct,2019-10-10,10-Oct
A02,R02,0.78,10-Oct,2019-10-10,10-Oct
A02,R03,0.78,10-Oct,2019-10-10,10-Oct
A02,R04,0.78,10-Oct,2019-10-10,10-Oct
A02,R05,0.78,10-Oct,2019-10-10,10-Oct
A02,R07,0.78,10-Oct,2019-10-10,10-Oct
A02,R08,0.78,10-Oct,2019-10-10,10-Oct
A02,R09,0.78,10-Oct,2019-10-10,10-Oct
A02,R10,0.78,10-Oct,2019-10-10,10-Oct
A02,R11,0.78,10-Oct,2019-10-10,10-Oct
A02,R12,0.78,10-Oct,2019-10-10,10-Oct
A02,R01,1,11-Oct,2019-10-11,11-Oct
A02,R02,1,11-Oct,2019-10-11,11-Oct
A02,R03,1,11-Oct,2019-10-11,11-Oct
A02,R04,1,11-Oct,2019-10-11,11-Oct
A02,R05,1,11-Oct,2019-10-11,11-Oct
A02,R07,1,11-Oct,2019-10-11,11-Oct
A02,R08,1,11-Oct,2019-10-11,11-Oct
A02,R09,1,11-Oct,2019-10-11,11-Oct
A02,R10,1,11-Oct,2019-10-11,11-Oct
A02,R11,1,11-Oct,2019-10-11,11-Oct
A02,R12,1,11-Oct,2019-10-11,11-Oct
A02,R01,1,14-Oct,2019-10-14,14-Oct
A02,R02,1,14-Oct,2019-10-14,14-Oct
A02,R03,1,14-Oct,2019-10-14,14-Oct
A02,R04,1,14-Oct,2019-10-14,14-Oct
A02,R05,1,14-Oct,2019-10-14,14-Oct
A02,R07,1,14-Oct,2019-10-14,14-Oct
A02,R08,1,14-Oct,2019-10-14,14-Oct
A02,R09,1,14-Oct,2019-10-14,14-Oct
A02,R10,1,14-Oct,2019-10-14,14-Oct
A02,R11,1,14-Oct,2019-10-14,14-Oct
A02,R12,1,14-Oct,2019-10-14,14-Oct
A02,R01,1.25,16-Oct,2019-10-16,16-Oct
A02,R02,1.25,16-Oct,2019-10-16,16-Oct
A02,R03,1.25,16-Oct,2019-10-16,16-Oct
A02,R04,1.25,16-Oct,2019-10-16,16-Oct
A02,R05,1.25,16-Oct,2019-10-16,16-Oct
A02,R07,1.25,16-Oct,2019-10-16,16-Oct
A02,R08,1.25,16-Oct,2019-10-16,16-Oct
A02,R09,1.25,16-Oct,2019-10-16,16-Oct
A02,R10,1.25,16-Oct,2019-10-16,16-Oct
A02,R11,1.25,16-Oct,2019-10-16,16-Oct
A02,R12,1.25,16-Oct,2019-10-16,16-Oct
A02,R07,1.25,18-Oct,2019-10-18,18-Oct
A02,R08,1.25,18-Oct,2019-10-18,18-Oct
A02,R09,1.25,18-Oct,2019-10-18,18-Oct
A02,R10,1.25,18-Oct,2019-10-18,18-Oct
A02,R11,1.25,18-Oct,2019-10-18,18-Oct
A02,R07,1.5,21-Oct,2019-10-21,21-Oct
A02,R08,1.5,21-Oct,2019-10-21,21-Oct
A02,R09,1.5,21-Oct,2019-10-21,21-Oct
A02,R10,1.5,21-Oct,2019-10-21,21-Oct
A02,R11,1.5,21-Oct,2019-10-21,21-Oct
A02,R07,1.5,23-Oct,2019-10-23,23-Oct
A02,R08,1.5,23-Oct,2019-10-23,23-Oct
A02,R09,1.5,23-Oct,2019-10-23,23-Oct
A02,R10,1.5,23-Oct,2019-10-23,23-Oct
A02,R11,1.5,23-Oct,2019-10-23,23-Oct
A02,R07,1.5,25-Oct,2019-10-25,25-Oct
A02,R08,1.5,25-Oct,2019-10-25,25-Oct
A02,R09,1.5,25-Oct,2019-10-25,25-Oct
A02,R10,1.5,25-Oct,2019-10-25,25-Oct
A02,R07,1.5,28-Oct,2019-10-28,28-Oct
A02,R08,1.5,28-Oct,2019-10-28,28-Oct
A02,R09,1.5,28-Oct,2019-10-28,28-Oct
A02,R10,1.5,28-Oct,2019-10-28,28-Oct
A02,R07,1.5,30-Oct,2019-10-30,30-Oct
A02,R08,1.5,30-Oct,2019-10-30,30-Oct
A02,R09,1.5,30-Oct,2019-10-30,30-Oct
A02,R10,1.5,30-Oct,2019-10-30,30-Oct
A02,R07,2,31-Oct,2019-10-31,31-Oct
A02,R08,2,31-Oct,2019-10-31,31-Oct
A02,R09,2,31-Oct,2019-10-31,31-Oct
A02,R10,2,31-Oct,2019-10-31,31-Oct
A02,R07,2,06-Nov,2019-11-06,06-Nov
A02,R08,2,06-Nov,2019-11-06,06-Nov
A02,R09,2,06-Nov,2019-11-06,06-Nov
A02,R10,2,06-Nov,2019-11-06,06-Nov
A02,R07,2,08-Nov,2019-11-08,08-Nov
A02,R08,2,08-Nov,2019-11-08,08-Nov
A02,R09,2,08-Nov,2019-11-08,08-Nov
A02,R10,2,08-Nov,2019-11-08,08-Nov
A02,R07,2,12-Nov,2019-11-12,12-Nov
A02,R08,2,12-Nov,2019-11-12,12-Nov
A02,R09,2,12-Nov,2019-11-12,12-Nov
A02,R10,2,12-Nov,2019-11-12,12-Nov
A02,R08,2,19-Nov,2019-11-19,19-Nov
A02,R10,2,19-Nov,2019-11-19,19-Nov
A02,R08,3,21-Nov,2019-11-21,21-Nov
A02,R10,3,21-Nov,2019-11-21,21-Nov
A02,R08,3,28-Nov,2019-11-28,28-Nov
A02,R10,3,28-Nov,2019-11-28,28-Nov
A02,R08,3,02-Dec,2019-12-02,02-Dec
A02,R10,3,02-Dec,2019-12-02,02-Dec
A03,R01,0.78,10-Oct,2019-10-10,10-Oct
A03,R02,0.78,10-Oct,2019-10-10,10-Oct
A03,R03,0.78,10-Oct,2019-10-10,10-Oct
A03,R04,0.78,10-Oct,2019-10-10,10-Oct
A03,R05,0.78,10-Oct,2019-10-10,10-Oct
A03,R06,0.78,10-Oct,2019-10-10,10-Oct
A03,R07,0.78,10-Oct,2019-10-10,10-Oct
