Well,Environment ,Strain,Replicate,Type,Ploidy
A1, RPMI +BA1.25,A03,Rep2,ancestral,N/A
A2, RPMI +BA1.25,A03,Rep3,ancestral,N/A
A3, RPMI +BA1.25,A03,Rep7,ancestral,N/A
A4, RPMI +BA1.25,A03,Rep8,ancestral,N/A
A5, RPMI +BA1.25,A03,Rep2,evolved,N/A
A6, RPMI +BA1.25,A03,Rep3,evolved,N/A
A7, RPMI +BA1.25,A03,Rep4,evolved,N/A
A8, RPMI +BA1.25,A03,Rep8,evolved,N/A
A9, RPMI +BA1.25,A04,Rep3,ancestral,N/A
A10, RPMI +BA1.25,A04,Rep5,ancestral,N/A
A11, RPMI +BA1.25,A04,Rep6,ancestral,N/A
A12, RPMI +BA1.25,A04,Rep7,ancestral,N/A
B1, RPMI +BA1.25,A04,Rep6,evolved,N/A
B2, RPMI +BA1.25,A04,Rep7,evolved,N/A
B3, RPMI +BA1.25,A04,Rep8,evolved,N/A
B4, RPMI +BA1.25,A04,Rep9,evolved,N/A
B5, RPMI +BA1.25,A08,Rep7,ancestral,N/A
B6, RPMI +BA1.25,A08,Rep8,ancestral,N/A
B7, RPMI +BA1.25,A08,Rep9,ancestral,N/A
B8, RPMI +BA1.25,A08,Rep10,ancestral,N/A
B9, RPMI +BA1.25,A08,Rep3,evolved,N/A
B10, RPMI +BA1.25,A08,Rep4,evolved,N/A
B11, RPMI +BA1.25,A08,Rep7,evolved,N/A
B12, RPMI +BA1.25,A08,Rep8,evolved,N/A
C1, RPMI +BA1.25,A18,Rep4,ancestral,N/A
C2, RPMI +BA1.25,A18,Rep5,ancestral,N/A
C3, RPMI +BA1.25,A18,Rep6,ancestral,N/A
C4, RPMI +BA1.25,A18,Rep7,ancestral,N/A
C5, RPMI +BA1.25,A18,Rep1,evolved,N/A
C6, RPMI +BA1.25,A18,Rep2,evolved,N/A
C7, RPMI +BA1.25,A18,Rep3,evolved,N/A
C8, RPMI +BA1.25,A18,Rep4,evolved,N/A
C9, RPMI +BA1.25,A03,Rep2,ancestral,N/A
C10, RPMI +BA1.25,A03,Rep3,ancestral,N/A
C11, RPMI +BA1.25,A03,Rep7,ancestral,N/A
C12, RPMI +BA1.25,A03,Rep8,ancestral,N/A
D1, RPMI +BA1.25,A03,Rep2,evolved,N/A
D2, RPMI +BA1.25,A03,Rep3,evolved,N/A
D3, RPMI +BA1.25,A03,Rep4,evolved,N/A
D4, RPMI +BA1.25,A03,Rep8,evolved,N/A
D5, RPMI +BA1.25,A04,Rep3,ancestral,N/A
D6, RPMI +BA1.25,A04,Rep5,ancestral,N/A
D7, RPMI +BA1.25,A04,Rep6,ancestral,N/A
D8, RPMI +BA1.25,A04,Rep7,ancestral,N/A
D9, RPMI +BA1.25,A04,Rep6,evolved,N/A
D10, RPMI +BA1.25,A04,Rep7,evolved,N/A
D11, RPMI +BA1.25,A04,Rep8,evolved,N/A
D12, RPMI +BA1.25,A04,Rep9,evolved,N/A
E1, RPMI +BA1.25,A08,Rep7,ancestral,N/A
E2, RPMI +BA1.25,A08,Rep8,ancestral,N/A
E3, RPMI +BA1.25,A08,Rep9,ancestral,N/A
E4, RPMI +BA1.25,A08,Rep10,ancestral,N/A
E5, RPMI +BA1.25,A08,Rep3,evolved,N/A
E6, RPMI +BA1.25,A08,Rep4,evolved,N/A
E7, RPMI +BA1.25,A08,Rep7,evolved,N/A
E8, RPMI +BA1.25,A08,Rep8,evolved,N/A
E9, RPMI +BA1.25,A18,Rep4,ancestral,N/A
E10, RPMI +BA1.25,A18,Rep5,ancestral,N/A
E11, RPMI +BA1.25,A18,Rep6,ancestral,N/A
E12, RPMI +BA1.25,A18,Rep7,ancestral,N/A
F1, RPMI +BA1.25,A18,Rep1,evolved,N/A
F2, RPMI +BA1.25,A18,Rep2,evolved,N/A
F3, RPMI +BA1.25,A18,Rep3,evolved,N/A
F4, RPMI +BA1.25,A18,Rep4,evolved,N/A
F5, RPMI +BA1.25,A03,Rep2,ancestral,N/A
F6, RPMI +BA1.25,A03,Rep3,ancestral,N/A
F7, RPMI +BA1.25,A03,Rep7,ancestral,N/A
F8, RPMI +BA1.25,A03,Rep8,ancestral,N/A
F9, RPMI +BA1.25,A03,Rep2,evolved,N/A
F10, RPMI +BA1.25,A03,Rep3,evolved,N/A
F11, RPMI +BA1.25,A03,Rep4,evolved,N/A
F12, RPMI +BA1.25,A03,Rep8,evolved,N/A
G1, RPMI +BA1.25,A04,Rep3,ancestral,N/A
G2, RPMI +BA1.25,A04,Rep5,ancestral,N/A
G3, RPMI +BA1.25,A04,Rep6,ancestral,N/A
G4, RPMI +BA1.25,A04,Rep7,ancestral,N/A
G5, RPMI +BA1.25,A04,Rep6,evolved,N/A
G6, RPMI +BA1.25,A04,Rep7,evolved,N/A
G7, RPMI +BA1.25,A04,Rep8,evolved,N/A
G8, RPMI +BA1.25,A04,Rep9,evolved,N/A
G9, RPMI +BA1.25,A08,Rep7,ancestral,N/A
G10, RPMI +BA1.25,A08,Rep8,ancestral,N/A
G11, RPMI +BA1.25,A08,Rep9,ancestral,N/A
G12, RPMI +BA1.25,A08,Rep10,ancestral,N/A
H1, RPMI +BA1.25,A08,Rep3,evolved,N/A
H2, RPMI +BA1.25,A08,Rep4,evolved,N/A
H3, RPMI +BA1.25,A08,Rep7,evolved,N/A
H4, RPMI +BA1.25,A08,Rep8,evolved,N/A
H5, RPMI +BA1.25,A18,Rep4,ancestral,N/A
H6, RPMI +BA1.25,A18,Rep5,ancestral,N/A
H7, RPMI +BA1.25,A18,Rep6,ancestral,N/A
H8, RPMI +BA1.25,A18,Rep7,ancestral,N/A
H9, RPMI +BA1.25,A18,Rep1,evolved,N/A
H10, RPMI +BA1.25,A18,Rep2,evolved,N/A
H11, RPMI +BA1.25,A18,Rep3,evolved,N/A
H12, RPMI +BA1.25,A18,Rep4,evolved,N/A
