Well,Environment ,Strain,Replicate,Type,Ploidy
A1,RPMI,A03,Rep2,ancestral,N/A
A2,RPMI,A03,Rep3,ancestral,N/A
A3,RPMI,A03,Rep7,ancestral,N/A
A4,RPMI,A03,Rep8,ancestral,N/A
A5,RPMI,A03,Rep2,evolved,N/A
A6,RPMI,A03,Rep3,evolved,N/A
A7,RPMI,A03,Rep4,evolved,N/A
A8,RPMI,A03,Rep8,evolved,N/A
A9,RPMI,A04,Rep3,ancestral,N/A
A10,RPMI,A04,Rep5,ancestral,N/A
A11,RPMI,A04,Rep6,ancestral,N/A
A12,RPMI,A04,Rep7,ancestral,N/A
B1,RPMI,A04,Rep6,evolved,N/A
B2,RPMI,A04,Rep7,evolved,N/A
B3,RPMI,A04,Rep8,evolved,N/A
B4,RPMI,A04,Rep9,evolved,N/A
B5,RPMI,A08,Rep7,ancestral,N/A
B6,RPMI,A08,Rep8,ancestral,N/A
B7,RPMI,A08,Rep9,ancestral,N/A
B8,RPMI,A08,Rep10,ancestral,N/A
B9,RPMI,A08,Rep3,evolved,N/A
B10,RPMI,A08,Rep4,evolved,N/A
B11,RPMI,A08,Rep7,evolved,N/A
B12,RPMI,A08,Rep8,evolved,N/A
C1,RPMI,A18,Rep4,ancestral,N/A
C2,RPMI,A18,Rep5,ancestral,N/A
C3,RPMI,A18,Rep6,ancestral,N/A
C4,RPMI,A18,Rep7,ancestral,N/A
C5,RPMI,A18,Rep1,evolved,N/A
C6,RPMI,A18,Rep2,evolved,N/A
C7,RPMI,A18,Rep3,evolved,N/A
C8,RPMI,A18,Rep4,evolved,N/A
C9,RPMI,A03,Rep2,ancestral,N/A
C10,RPMI,A03,Rep3,ancestral,N/A
C11,RPMI,A03,Rep7,ancestral,N/A
C12,RPMI,A03,Rep8,ancestral,N/A
D1,RPMI,A03,Rep2,evolved,N/A
D2,RPMI,A03,Rep3,evolved,N/A
D3,RPMI,A03,Rep4,evolved,N/A
D4,RPMI,A03,Rep8,evolved,N/A
D5,RPMI,A04,Rep3,ancestral,N/A
D6,RPMI,A04,Rep5,ancestral,N/A
D7,RPMI,A04,Rep6,ancestral,N/A
D8,RPMI,A04,Rep7,ancestral,N/A
D9,RPMI,A04,Rep6,evolved,N/A
D10,RPMI,A04,Rep7,evolved,N/A
D11,RPMI,A04,Rep8,evolved,N/A
D12,RPMI,A04,Rep9,evolved,N/A
E1,RPMI,A08,Rep7,ancestral,N/A
E2,RPMI,A08,Rep8,ancestral,N/A
E3,RPMI,A08,Rep9,ancestral,N/A
E4,RPMI,A08,Rep10,ancestral,N/A
E5,RPMI,A08,Rep3,evolved,N/A
E6,RPMI,A08,Rep4,evolved,N/A
E7,RPMI,A08,Rep7,evolved,N/A
E8,RPMI,A08,Rep8,evolved,N/A
E9,RPMI,A18,Rep4,ancestral,N/A
E10,RPMI,A18,Rep5,ancestral,N/A
E11,RPMI,A18,Rep6,ancestral,N/A
E12,RPMI,A18,Rep7,ancestral,N/A
F1,RPMI,A18,Rep1,evolved,N/A
F2,RPMI,A18,Rep2,evolved,N/A
F3,RPMI,A18,Rep3,evolved,N/A
F4,RPMI,A18,Rep4,evolved,N/A
F5,RPMI,A03,Rep2,ancestral,N/A
F6,RPMI,A03,Rep3,ancestral,N/A
F7,RPMI,A03,Rep7,ancestral,N/A
F8,RPMI,A03,Rep8,ancestral,N/A
F9,RPMI,A03,Rep2,evolved,N/A
F10,RPMI,A03,Rep3,evolved,N/A
F11,RPMI,A03,Rep4,evolved,N/A
F12,RPMI,A03,Rep8,evolved,N/A
G1,RPMI,A04,Rep3,ancestral,N/A
G2,RPMI,A04,Rep5,ancestral,N/A
G3,RPMI,A04,Rep6,ancestral,N/A
G4,RPMI,A04,Rep7,ancestral,N/A
G5,RPMI,A04,Rep6,evolved,N/A
G6,RPMI,A04,Rep7,evolved,N/A
G7,RPMI,A04,Rep8,evolved,N/A
G8,RPMI,A04,Rep9,evolved,N/A
G9,RPMI,A08,Rep7,ancestral,N/A
G10,RPMI,A08,Rep8,ancestral,N/A
G11,RPMI,A08,Rep9,ancestral,N/A
G12,RPMI,A08,Rep10,ancestral,N/A
H1,RPMI,A08,Rep3,evolved,N/A
H2,RPMI,A08,Rep4,evolved,N/A
H3,RPMI,A08,Rep7,evolved,N/A
H4,RPMI,A08,Rep8,evolved,N/A
H5,RPMI,A18,Rep4,ancestral,N/A
H6,RPMI,A18,Rep5,ancestral,N/A
H7,RPMI,A18,Rep6,ancestral,N/A
H8,RPMI,A18,Rep7,ancestral,N/A
H9,RPMI,A18,Rep1,evolved,N/A
H10,RPMI,A18,Rep2,evolved,N/A
H11,RPMI,A18,Rep3,evolved,N/A
H12,RPMI,A18,Rep4,evolved,N/A
