"","Strain_type","Replicate","OD24_avg","OD48_avg","OD72_avg","OD24_median","OD48_median","OD72_median","OD24_max","OD48_max","OD72_max","OD24_min","OD48_min","OD72_min","lgr_avg","fakelag_avg","maxOD_avg","lgr_median","fakelag_median","maxOD_median","lgr_max","fakelag_max","maxOD_max","lgr_min","fakelag_min","BAGClgr_avg","Strain","Origin"
"1","A03_ancestral","Rep2",0.621333333333333,0.742666666666667,0.770666666666667,0.59,0.713,0.746,0.692,0.806,0.83,0.582,0.709,0.736,0.205837875522086,13.5,0.770666666666667,0.201564253987652,13.75,0.746,0.228375882205256,14,0.83,0.187573490373349,12.75,0.205837875522086,"A03","ancestral"
"2","A03_ancestral","Rep3",0.663333333333333,0.797333333333333,0.846,0.648,0.777,0.808,0.746,0.903,0.994,0.596,0.712,0.736,0.212767009533099,13.0833333333333,0.847,0.204232660305781,13.25,0.808,0.240100352399963,13.5,0.996,0.193968015893553,12.5,0.212767009533099,"A03","ancestral"
"3","A03_ancestral","Rep7",0.647,0.776666666666667,0.807666666666667,0.634,0.773,0.811,0.691,0.819,0.849,0.616,0.738,0.763,0.213102159759189,13.4166666666667,0.808333333333333,0.205662117302996,13.5,0.812,0.23440057627111,13.75,0.849,0.199243785703462,13,0.213102159759189,"A03","ancestral"
"4","A03_ancestral","Rep8",0.638333333333333,0.759333333333333,0.783333333333333,0.638,0.765,0.794,0.712,0.829,0.852,0.565,0.684,0.704,0.202392022667179,12.9166666666667,0.783666666666667,0.204335734999006,13,0.795,0.218568146903575,13.75,0.852,0.184272186098955,12,0.202392022667179,"A03","ancestral"
"5","A03_evolved","Rep2",1.36066666666667,1.38666666666667,1.427,1.359,1.389,1.418,1.379,1.427,1.49,1.344,1.344,1.373,0.478056995426949,8.91666666666667,1.429,0.473616104090802,9,1.42,0.488565480072367,9,1.491,0.471989402117678,8.75,0.478056995426949,"A03","evolved"
"6","A03_evolved","Rep3",0.967,1.07733333333333,1.115,0.988,1.111,1.15,1.024,1.117,1.172,0.889,1.004,1.023,0.291408823090607,11.75,1.11766666666667,0.292816444791288,12,1.151,0.333027415766463,12,1.174,0.248382608714071,11.25,0.291408823090607,"A03","evolved"
"7","A03_evolved","Rep4",1.317,1.36333333333333,1.39366666666667,1.304,1.347,1.36,1.35,1.427,1.485,1.297,1.316,1.336,0.425683579285963,9.75,1.39766666666667,0.427590342677586,9.75,1.368,0.435960868416796,10,1.486,0.413499526763505,9.5,0.425683579285963,"A03","evolved"
"8","A03_evolved","Rep8",1.34,1.38466666666667,1.41833333333333,1.335,1.389,1.45,1.392,1.436,1.45,1.293,1.329,1.355,0.434733850396274,10.3333333333333,1.42,0.428030071852881,10.25,1.451,0.451761438524656,10.5,1.452,0.424410040811285,10.25,0.434733850396274,"A03","evolved"
"9","A04_ancestral","Rep3",0.544,0.686,0.711,0.551,0.695,0.712,0.556,0.701,0.727,0.525,0.662,0.694,0.181389154093233,14.1666666666667,0.713,0.178726294142173,14.25,0.718,0.191225583834331,14.25,0.727,0.174215584303194,14,0.181389154093233,"A04","ancestral"
"10","A04_ancestral","Rep5",0.581666666666667,0.727,0.753,0.552,0.691,0.725,0.646,0.807,0.836,0.547,0.683,0.698,0.187899155368321,13.75,0.755,0.17604254088921,14,0.726,0.215777586842769,14.25,0.838,0.171877338372983,13,0.187899155368321,"A04","ancestral"
"11","A04_ancestral","Rep6",0.549333333333333,0.692333333333333,0.72,0.55,0.681,0.695,0.601,0.754,0.786,0.497,0.642,0.679,0.180169397501206,14.75,0.721666666666667,0.181597704862479,14.75,0.698,0.203813082777504,15.5,0.788,0.155097404863636,14,0.180169397501206,"A04","ancestral"
"12","A04_ancestral","Rep7",0.546666666666667,0.692666666666667,0.720666666666667,0.556,0.706,0.737,0.58,0.726,0.745,0.504,0.646,0.68,0.180814310161518,14.6666666666667,0.722666666666667,0.183166328959761,14.5,0.74,0.194665623787227,15.25,0.747,0.164610977737567,14.25,0.180814310161518,"A04","ancestral"
"13","A04_evolved","Rep6",0.621666666666667,0.794666666666667,0.824,0.589,0.759,0.786,0.693,0.87,0.905,0.583,0.755,0.781,0.203999091408225,15.0833333333333,0.825666666666667,0.192181746794251,15,0.787,0.228508384225723,15.25,0.905,0.1913071432047,15,0.203999091408225,"A04","evolved"
