,Strain_type,Replicate,OD24_avg,OD48_avg,OD72_avg,OD24_median,OD48_median,OD72_median,OD24_max,OD48_max,OD72_max,OD24_min,OD48_min,OD72_min,lgr_avg,fakelag_avg,maxOD_avg,lgr_median,fakelag_median,maxOD_median,lgr_max,fakelag_max,maxOD_max,lgr_min,fakelag_min,BAGClgr_avg,Strain,Origin,StrainName
1,A03_ancestral,Rep2,0.621333333,0.742666667,0.770666667,0.59,0.713,0.746,0.692,0.806,0.83,0.582,0.709,0.736,0.205837876,13.5,0.770666667,0.201564254,13.75,0.746,0.228375882,14,0.83,0.18757349,12.75,0.205837876,A03,ancestral,GC75
2,A03_ancestral,Rep3,0.663333333,0.797333333,0.846,0.648,0.777,0.808,0.746,0.903,0.994,0.596,0.712,0.736,0.21276701,13.08333333,0.847,0.20423266,13.25,0.808,0.240100352,13.5,0.996,0.193968016,12.5,0.21276701,A03,ancestral,GC75
3,A03_ancestral,Rep7,0.647,0.776666667,0.807666667,0.634,0.773,0.811,0.691,0.819,0.849,0.616,0.738,0.763,0.21310216,13.41666667,0.808333333,0.205662117,13.5,0.812,0.234400576,13.75,0.849,0.199243786,13,0.21310216,A03,ancestral,GC75
4,A03_ancestral,Rep8,0.638333333,0.759333333,0.783333333,0.638,0.765,0.794,0.712,0.829,0.852,0.565,0.684,0.704,0.202392023,12.91666667,0.783666667,0.204335735,13,0.795,0.218568147,13.75,0.852,0.184272186,12,0.202392023,A03,ancestral,GC75
5,A03_evolved,Rep2,1.360666667,1.386666667,1.427,1.359,1.389,1.418,1.379,1.427,1.49,1.344,1.344,1.373,0.478056995,8.916666667,1.429,0.473616104,9,1.42,0.48856548,9,1.491,0.471989402,8.75,0.478056995,A03,evolved,GC75
6,A03_evolved,Rep3,0.967,1.077333333,1.115,0.988,1.111,1.15,1.024,1.117,1.172,0.889,1.004,1.023,0.291408823,11.75,1.117666667,0.292816445,12,1.151,0.333027416,12,1.174,0.248382609,11.25,0.291408823,A03,evolved,GC75
7,A03_evolved,Rep4,1.317,1.363333333,1.393666667,1.304,1.347,1.36,1.35,1.427,1.485,1.297,1.316,1.336,0.425683579,9.75,1.397666667,0.427590343,9.75,1.368,0.435960868,10,1.486,0.413499527,9.5,0.425683579,A03,evolved,GC75
8,A03_evolved,Rep8,1.34,1.384666667,1.418333333,1.335,1.389,1.45,1.392,1.436,1.45,1.293,1.329,1.355,0.43473385,10.33333333,1.42,0.428030072,10.25,1.451,0.451761439,10.5,1.452,0.424410041,10.25,0.43473385,A03,evolved,GC75
9,A04_ancestral,Rep3,0.544,0.686,0.711,0.551,0.695,0.712,0.556,0.701,0.727,0.525,0.662,0.694,0.181389154,14.16666667,0.713,0.178726294,14.25,0.718,0.191225584,14.25,0.727,0.174215584,14,0.181389154,A04,ancestral,P78048
10,A04_ancestral,Rep5,0.581666667,0.727,0.753,0.552,0.691,0.725,0.646,0.807,0.836,0.547,0.683,0.698,0.187899155,13.75,0.755,0.176042541,14,0.726,0.215777587,14.25,0.838,0.171877338,13,0.187899155,A04,ancestral,P78048
11,A04_ancestral,Rep6,0.549333333,0.692333333,0.72,0.55,0.681,0.695,0.601,0.754,0.786,0.497,0.642,0.679,0.180169398,14.75,0.721666667,0.181597705,14.75,0.698,0.203813083,15.5,0.788,0.155097405,14,0.180169398,A04,ancestral,P78048
12,A04_ancestral,Rep7,0.546666667,0.692666667,0.720666667,0.556,0.706,0.737,0.58,0.726,0.745,0.504,0.646,0.68,0.18081431,14.66666667,0.722666667,0.183166329,14.5,0.74,0.194665624,15.25,0.747,0.164610978,14.25,0.18081431,A04,ancestral,P78048
13,A04_evolved,Rep6,0.621666667,0.794666667,0.824,0.589,0.759,0.786,0.693,0.87,0.905,0.583,0.755,0.781,0.203999091,15.08333333,0.825666667,0.192181747,15,0.787,0.228508384,15.25,0.905,0.191307143,15,0.203999091,A04,evolved,P78048
14,A04_evolved,Rep7,0.641,0.798666667,0.828666667,0.653,0.814,0.838,0.707,0.862,0.899,0.563,0.72,0.749,0.207604903,14,0.829666667,0.212393609,13.75,0.84,0.228460632,14.75,0.899,0.181960468,13.5,0.207604903,A04,evolved,P78048
15,A04_evolved,Rep8,0.808333333,0.954,0.980333333,0.724,0.89,0.917,0.981,1.097,1.128,0.72,0.875,0.896,0.260905205,13.16666667,0.982666667,0.236339706,13.5,0.919,0.313618843,13.75,1.129,0.232757065,12.25,0.260905205,A04,evolved,P78048
16,A04_evolved,Rep9,1.26,1.344666667,1.377333333,1.303,1.351,1.405,1.355,1.427,1.428,1.122,1.256,1.299,0.410501327,11.16666667,1.383333333,0.43067096,11,1.407,0.466997076,11.75,1.443,0.333835946,10.75,0.410501327,A04,evolved,P78048
17,A08_ancestral,Rep10,0.474333333,0.629,0.795666667,0.473,0.632,0.721,0.482,0.635,0.963,0.468,0.62,0.703,0.174767711,14.58333333,0.797,0.171593481,14.5,0.724,0.183915571,14.75,0.963,0.168794079,14.5,0.174767711,A08,ancestral,P75016
18,A08_ancestral,Rep7,0.511333333,0.673666667,0.764666667,0.53,0.694,0.8,0.56,0.731,0.803,0.444,0.596,0.691,0.184196647,13.66666667,0.766666667,0.184125655,13.25,0.802,0.202644565,15,0.804,0.16581972,12.75,0.184196647,A08,ancestral,P75016
19,A08_ancestral,Rep8,0.607,0.785333333,0.872,0.622,0.776,0.876,0.685,0.905,0.974,0.514,0.675,0.766,0.204912607,11.75,0.875,0.205576656,11.5,0.876,0.226194253,12.75,0.979,0.182966913,11,0.204912607,A08,ancestral,P75016
20,A08_ancestral,Rep9,0.518666667,0.668,0.761,0.523,0.655,0.77,0.535,0.696,0.792,0.498,0.653,0.721,0.1815827,13.16666667,0.763333333,0.18424211,13,0.776,0.185718442,13.5,0.792,0.174787548,13,0.1815827,A08,ancestral,P75016
21,A08_evolved,Rep3,1.305333333,1.385,1.457666667,1.288,1.373,1.421,1.361,1.436,1.563,1.267,1.346,1.389,0.396060679,10.75,1.459,0.37994285,10.75,1.421,0.441309095,10.75,1.565,0.366930093,10.75,0.396060679,A08,evolved,P75016
22,A08_evolved,Rep4,1.341666667,1.390333333,1.445333333,1.327,1.379,1.419,1.377,1.432,1.522,1.321,1.36,1.395,0.434012705,10.08333333,1.445666667,0.448055143,10,1.42,0.452843959,10.25,1.522,0.401139013,10,0.434012705,A08,evolved,P75016
23,A08_evolved,Rep7,1.360666667,1.401333333,1.451,1.345,1.388,1.429,1.394,1.457,1.525,1.343,1.359,1.399,0.44515442,9.75,1.451666667,0.457465933,10,1.429,0.458396888,10,1.526,0.419600437,9.25,0.44515442,A08,evolved,P75016
24,A08_evolved,Rep8,1.347,1.411666667,1.449666667,1.345,1.398,1.438,1.361,1.458,1.49,1.335,1.379,1.421,0.406326809,10.66666667,1.450666667,0.390002998,10.75,1.438,0.450954053,11.25,1.492,0.378023375,10,0.406326809,A08,evolved,P75016
25,A18_ancestral,Rep4,0.584333333,0.733666667,0.787,0.584,0.731,0.786,0.586,0.74,0.79,0.583,0.73,0.785,0.197980871,13.66666667,0.793,0.198321279,13.75,0.795,0.201204621,13.75,0.798,0.194416713,13.5,0.197980871,A18,ancestral,FH1
