"strain","replicate","conc1","conc2","dayInterval"
"A02","R01",0.78,1,1
"A02","R01",1,1,3
"A02","R01",1,1.25,2
"A02","R02",0.78,1,1
"A02","R02",1,1,3
"A02","R02",1,1.25,2
"A02","R03",0.78,1,1
"A02","R03",1,1,3
"A02","R03",1,1.25,2
"A02","R04",0.78,1,1
"A02","R04",1,1,3
"A02","R04",1,1.25,2
"A02","R05",0.78,1,1
"A02","R05",1,1,3
"A02","R05",1,1.25,2
"A02","R07",0.78,1,1
"A02","R07",1,1,3
"A02","R07",1,1.25,2
"A02","R07",1.25,1.25,2
"A02","R07",1.25,1.5,3
"A02","R07",1.5,1.5,2
"A02","R07",1.5,1.5,2
"A02","R07",1.5,1.5,3
"A02","R07",1.5,1.5,2
"A02","R07",1.5,2,1
"A02","R07",2,2,6
"A02","R07",2,2,2
"A02","R07",2,2,4
"A02","R08",0.78,1,1
"A02","R08",1,1,3
"A02","R08",1,1.25,2
"A02","R08",1.25,1.25,2
"A02","R08",1.25,1.5,3
"A02","R08",1.5,1.5,2
"A02","R08",1.5,1.5,2
"A02","R08",1.5,1.5,3
"A02","R08",1.5,1.5,2
"A02","R08",1.5,2,1
"A02","R08",2,2,6
"A02","R08",2,2,2
"A02","R08",2,2,4
"A02","R08",2,2,7
"A02","R08",2,3,2
"A02","R08",3,3,7
"A02","R08",3,3,4
"A02","R09",0.78,1,1
"A02","R09",1,1,3
"A02","R09",1,1.25,2
"A02","R09",1.25,1.25,2
"A02","R09",1.25,1.5,3
"A02","R09",1.5,1.5,2
"A02","R09",1.5,1.5,2
"A02","R09",1.5,1.5,3
"A02","R09",1.5,1.5,2
"A02","R09",1.5,2,1
"A02","R09",2,2,6
"A02","R09",2,2,2
"A02","R09",2,2,4
"A02","R10",0.78,1,1
"A02","R10",1,1,3
"A02","R10",1,1.25,2
"A02","R10",1.25,1.25,2
"A02","R10",1.25,1.5,3
"A02","R10",1.5,1.5,2
"A02","R10",1.5,1.5,2
"A02","R10",1.5,1.5,3
"A02","R10",1.5,1.5,2
"A02","R10",1.5,2,1
"A02","R10",2,2,6
"A02","R10",2,2,2
"A02","R10",2,2,4
"A02","R10",2,2,7
"A02","R10",2,3,2
"A02","R10",3,3,7
"A02","R10",3,3,4
"A02","R11",0.78,1,1
"A02","R11",1,1,3
"A02","R11",1,1.25,2
"A02","R11",1.25,1.25,2
"A02","R11",1.25,1.5,3
"A02","R11",1.5,1.5,2
"A02","R12",0.78,1,1
"A02","R12",1,1,3
"A02","R12",1,1.25,2
"A03","R01",0.78,1,1
"A03","R01",1,1,3
"A03","R01",1,1.25,2
"A03","R01",1.25,1.25,2
"A03","R01",1.25,1.5,3
"A03","R01",1.5,1.5,2
"A03","R01",1.5,1.5,2
"A03","R01",1.5,1.5,3
"A03","R01",1.5,1.5,2
"A03","R01",1.5,1.75,1
"A03","R01",1.75,1.75,6
"A03","R01",1.75,1.75,6
"A03","R02",0.78,1,1
"A03","R02",1,1,3
"A03","R02",1,1.25,2
"A03","R02",1.25,1.25,2
"A03","R02",1.25,1.5,3
"A03","R02",1.5,1.5,2
"A03","R02",1.5,1.5,2
"A03","R02",1.5,1.5,3
"A03","R02",1.5,1.5,2
"A03","R02",1.5,1.75,1
"A03","R02",1.75,1.75,6
"A03","R02",1.75,1.75,2
"A03","R02",1.75,1.75,4
"A03","R02",1.75,2,4
"A03","R02",2,2,5
