"distance.1","instensity.1","distance.A03_R2A_EVO","instensity.A03_R2A_EVO","distance.A03_R2A_T0","instensity.A03_R2A_T0","distance.A03_R2B_EVO","instensity.A03_R2B_EVO","distance.A03_R2B_T0","instensity.A03_R2B_T0","distance.A03_R2C_EVO","instensity.A03_R2C_EVO","distance.A03_R2C_T0","instensity.A03_R2C_T0","distance.A03_R3A_EVO","instensity.A03_R3A_EVO","distance.A03_R3A_T0","instensity.A03_R3A_T0","distance.A03_R3B_EVO","instensity.A03_R3B_EVO","distance.A03_R3B_T0","instensity.A03_R3B_T0","distance.A03_R3C_EVO","instensity.A03_R3C_EVO","distance.A03_R3C_T0","instensity.A03_R3C_T0","distance.A03_R4A_EVO","instensity.A03_R4A_EVO","distance.A03_R4B_EVO","instensity.A03_R4B_EVO","distance.A03_R4C_EVO","instensity.A03_R4C_EVO","distance.A03_R7A_T0","instensity.A03_R7A_T0","distance.A03_R7B_T0","instensity.A03_R7B_T0","distance.A03_R7C_T0","instensity.A03_R7C_T0","distance.A03_R8A_EVO","instensity.A03_R8A_EVO","distance.A03_R8A_T0","instensity.A03_R8A_T0","distance.A03_R8B_EVO","instensity.A03_R8B_EVO","distance.A03_R8B_T0","instensity.A03_R8B_T0","distance.A03_R8C_EVO","instensity.A03_R8C_EVO","distance.A03_R8C_T0","instensity.A03_R8C_T0","distance.A04_R3A_T0","instensity.A04_R3A_T0","distance.A04_R3B_T0","instensity.A04_R3B_T0","distance.A04_R3C_T0","instensity.A04_R3C_T0","distance.A04_R5A_T0","instensity.A04_R5A_T0","distance.A04_R5B_T0","instensity.A04_R5B_T0","distance.A04_R5C_T0","instensity.A04_R5C_T0","distance.A04_R6A_EVO","instensity.A04_R6A_EVO","distance.A04_R6A_T0","instensity.A04_R6A_T0","distance.A04_R6B_EVO","instensity.A04_R6B_EVO","distance.A04_R6B_T0","instensity.A04_R6B_T0","distance.A04_R6C_EVO","instensity.A04_R6C_EVO","distance.A04_R6C_T0","instensity.A04_R6C_T0","distance.A04_R7A_EVO","instensity.A04_R7A_EVO","distance.A04_R7A_T0","instensity.A04_R7A_T0","distance.A04_R7B_EVO","instensity.A04_R7B_EVO","distance.A04_R7B_T0","instensity.A04_R7B_T0","distance.A04_R7C_EVO","instensity.A04_R7C_EVO","distance.A04_R7C_T0","instensity.A04_R7C_T0","distance.A04_R8A_EVO","instensity.A04_R8A_EVO","distance.A04_R8B_EVO","instensity.A04_R8B_EVO","distance.A04_R8C_EVO","instensity.A04_R8C_EVO","distance.A04_R9A_EVO","instensity.A04_R9A_EVO","distance.A04_R9B_EVO","instensity.A04_R9B_EVO","distance.A04_R9C_EVO","instensity.A04_R9C_EVO","distance.A08_R10A_T0","instensity.A08_R10A_T0","distance.A08_R10B_T0","instensity.A08_R10B_T0","distance.A08_R10C_T0","instensity.A08_R10C_T0","distance.A08_R3A_EVO","instensity.A08_R3A_EVO","distance.A08_R3B_EVO","instensity.A08_R3B_EVO","distance.A08_R3C_EVO","instensity.A08_R3C_EVO","distance.A08_R4A_EVO","instensity.A08_R4A_EVO","distance.A08_R4B_EVO","instensity.A08_R4B_EVO","distance.A08_R4C_EVO","instensity.A08_R4C_EVO","distance.A08_R7A_EVO","instensity.A08_R7A_EVO","distance.A08_R7A_T0","instensity.A08_R7A_T0","distance.A08_R7B_EVO","instensity.A08_R7B_EVO","distance.A08_R7B_T0","instensity.A08_R7B_T0","distance.A08_R7C_EVO","instensity.A08_R7C_EVO","distance.A08_R7C_T0","instensity.A08_R7C_T0","distance.A08_R8A_EVO","instensity.A08_R8A_EVO","distance.A08_R8A_T0","instensity.A08_R8A_T0","distance.A08_R8B_EVO","instensity.A08_R8B_EVO","distance.A08_R8B_T0","instensity.A08_R8B_T0","distance.A08_R8C_EVO","instensity.A08_R8C_EVO","distance.A08_R8C_T0","instensity.A08_R8C_T0","distance.A08_R9A_T0","instensity.A08_R9A_T0","distance.A08_R9B_T0","instensity.A08_R9B_T0","distance.A08_R9C_T0","instensity.A08_R9C_T0","distance.A18_R1A_EVO","instensity.A18_R1A_EVO","distance.A18_R1B_EVO","instensity.A18_R1B_EVO","distance.A18_R1C_EVO","instensity.A18_R1C_EVO","distance.A18_R2A_EVO","instensity.A18_R2A_EVO","distance.A18_R2B_EVO","instensity.A18_R2B_EVO","distance.A18_R2C_EVO","instensity.A18_R2C_EVO","distance.A18_R3A_EVO","instensity.A18_R3A_EVO","distance.A18_R3B_EVO","instensity.A18_R3B_EVO","distance.A18_R3C_EVO","instensity.A18_R3C_EVO","distance.A18_R4A_EVO","instensity.A18_R4A_EVO","distance.A18_R4A_T0","instensity.A18_R4A_T0","distance.A18_R4B_EVO","instensity.A18_R4B_EVO","distance.A18_R4B_T0","instensity.A18_R4B_T0","distance.A18_R4C_EVO","instensity.A18_R4C_EVO","distance.A18_R4C_T0","instensity.A18_R4C_T0","distance.A18_R5A_T0","instensity.A18_R5A_T0","distance.A18_R5B_T0","instensity.A18_R5B_T0","distance.A18_R5C_T0","instensity.A18_R5C_T0","distance.A18_R7A_T0","instensity.A18_R7A_T0","distance.A18_R7B_T0","instensity.A18_R7B_T0","distance.A18_R7C_T0","instensity.A18_R7C_T0","distance.A18_R8A_T0","instensity.A18_R8A_T0","distance.A18_R8B_T0","instensity.A18_R8B_T0","distance.A18_R8C_T0","instensity.A18_R8C_T0"
0,238,0,236,0,238,0,238,0,236,0,238,0,238,0,238,0,238,0,238,0,241,0,236,0,238,0,238,0,238,0,204,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,235,0,238,0,235,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,241,0,238,0,238,0,238,0,238,0,238,0,238,0,237,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,230,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,241,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,238,0,228,0,238,0,238,0,238,0,238,0,238
0.091,238,0.091,236,0.091,238,0.092,238,0.092,236,0.091,238,0.092,238,0.092,238,0.092,238,0.091,238,0.092,241,0.092,236,0.092,238,0.091,238,0.091,238,0.09,204,0.091,238,0.091,238,0.092,238,0.091,238,0.092,238,0.091,238,0.091,238,0.092,238,0.091,235,0.091,238,0.092,235,0.091,238,0.092,238,0.092,238,0.092,238,0.091,238,0.092,238,0.091,238,0.092,241,0.092,238,0.091,238,0.091,238,0.091,238,0.092,238,0.091,238,0.091,237,0.091,238,0.092,238,0.092,238,0.092,238,0.091,238,0.091,238,0.091,238,0.091,238,0.092,238,0.091,238,0.092,238,0.091,230.486,0.091,238,0.091,238,0.091,238,0.091,238,0.092,238,0.091,238,0.092,238,0.092,238,0.091,238,0.092,238,0.091,238,0.092,238,0.092,238,0.092,238,0.091,238,0.091,238,0.092,238,0.091,238,0.092,238,0.092,238,0.091,238,0.092,238,0.092,238,0.091,238,0.091,238,0.092,241,0.091,238,0.092,238,0.092,238,0.092,238,0.092,238,0.091,238,0.092,238,0.092,238,0.091,238,0.091,238,0.092,238,0.091,228,0.091,238,0.091,238,0.091,238,0.091,238,0.092,238
0.183,238,0.182,236,0.182,238,0.183,238,0.183,236,0.182,238,0.183,238,0.183,238,0.183,238,0.183,238,0.184,241,0.183,236,0.184,238,0.183,238,0.182,238,0.181,204,0.183,238,0.182,238,0.183,238,0.183,238,0.183,238,0.183,238,0.183,238,0.183,238,0.183,235,0.183,238,0.183,235,0.183,238,0.183,238,0.184,238,0.183,238,0.183,238,0.183,238,0.182,238,0.183,241,0.183,238,0.183,238,0.182,238,0.182,238,0.183,238,0.183,238,0.182,237,0.183,238,0.184,238,0.183,238,0.183,238,0.182,238,0.183,238,0.182,238,0.183,238,0.183,238,0.182,238,0.183,238,0.183,230.528,0.182,238,0.183,238,0.183,238,0.182,238,0.183,238,0.182,238,0.183,238,0.183,238,0.183,238,0.183,238,0.182,238,0.183,238,0.183,238,0.183,238,0.182,238,0.183,238,0.183,238,0.182,238,0.183,238,0.183,238,0.182,238,0.183,238,0.183,238,0.183,238,0.183,238,0.183,241,0.183,238,0.183,238,0.183,238,0.183,238,0.183,238,0.183,238,0.183,238,0.183,238,0.182,238,0.183,238,0.183,238,0.183,228,0.182,238,0.183,238,0.183,238,0.183,238,0.183,238
0.274,238,0.273,236,0.273,238,0.275,238,0.275,236,0.273,238,0.275,238,0.275,238,0.275,238,0.274,238,0.276,241,0.275,236,0.276,238,0.274,238,0.273,238,0.271,204,0.274,238,0.273,238,0.275,238,0.274,238,0.275,238,0.274,238,0.274,238,0.275,238,0.274,235,0.274,238,0.275,235,0.274,238,0.275,238,0.276,238,0.275,238,0.274,238,0.275,238,0.273,238,0.275,241,0.275,238,0.274,238,0.273,238,0.273,238,0.275,238,0.274,238,0.273,237,0.274,238,0.276,238,0.275,238,0.275,238,0.273,238,0.274,238,0.273,238,0.274,238,0.275,238,0.273,238,0.275,238,0.274,230.597,0.273,238,0.274,238,0.274,238,0.273,238,0.275,238,0.273,238,0.275,238,0.275,238,0.274,238,0.275,238,0.273,238,0.275,238,0.275,238,0.275,238,0.273,238,0.274,238,0.275,238,0.273,238,0.275,238,0.275,238,0.273,238,0.275,238,0.275,238,0.274,238,0.274,238,0.275,241,0.274,238,0.275,238,0.275,238,0.275,238,0.275,238,0.274,238,0.275,238,0.275,238,0.273,238,0.274,238,0.275,238,0.274,228.514,0.273,238,0.274,238,0.274,238,0.274,238,0.275,238
0.365,238,0.364,236,0.364,238,0.367,238,0.367,236,0.364,238,0.366,238,0.367,238,0.367,238,0.365,238,0.368,241,0.366,236,0.368,238,0.365,238,0.364,238,0.362,204,0.365,238,0.364,238,0.366,238,0.365,238,0.367,238,0.365,238,0.365,238,0.366,238,0.365,235,0.365,238,0.366,235,0.365,238,0.366,238,0.368,238,0.367,238,0.365,238,0.367,238,0.364,238,0.366,241,0.366,238,0.365,238,0.364,238,0.364,238,0.366,238,0.365,238,0.364,237,0.365,238,0.368,238,0.367,238,0.366,238,0.364,238,0.365,238,0.364,238,0.365,238,0.366,238,0.364,238,0.366,238,0.365,230.681,0.364,238,0.365,238,0.365,238,0.364,238,0.366,238,0.364,238,0.366,238,0.366,238,0.365,238,0.366,238,0.364,238,0.366,238,0.366,238,0.366,238,0.364,238,0.365,238,0.366,238,0.364,238,0.366,238,0.367,238,0.364,238,0.366,238,0.366,238,0.365,238,0.365,238,0.366,241,0.365,238,0.367,238,0.366,238,0.366,238,0.367,238,0.365,238,0.367,238,0.366,238,0.364,238,0.365,238,0.366,238,0.365,228.861,0.364,238,0.365,238,0.365,238,0.365,238,0.366,238
0.457,238,0.456,236,0.456,238,0.459,238,0.459,236,0.456,238,0.458,238,0.459,238,0.459,238,0.457,238,0.46,241,0.458,236,0.46,238,0.457,238,0.455,238,0.452,204,0.457,238,0.456,238,0.458,238,0.457,238,0.459,238,0.457,238,0.457,238,0.458,238,0.457,235,0.457,238,0.458,235,0.457,238,0.458,238,0.46,238,0.459,238,0.457,238,0.459,238,0.456,238,0.458,241,0.458,238,0.457,238,0.456,238,0.456,238,0.458,238,0.457,238,0.456,237,0.457,238,0.46,238,0.459,238,0.458,238,0.455,238,0.457,238,0.456,238,0.457,238,0.458,238,0.456,238,0.458,238,0.457,230.75,0.456,238,0.457,238,0.457,238,0.455,238,0.458,238,0.455,238,0.458,238,0.458,238,0.457,238,0.458,238,0.456,238,0.458,238,0.458,238,0.458,238,0.456,238,0.457,238,0.458,238,0.456,238,0.458,238,0.459,238,0.456,238,0.458,238,0.458,238,0.457,238,0.457,238,0.458,241,0.457,238,0.459,238,0.458,238,0.458,238,0.459,238,0.457,238,0.459,238,0.458,238,0.456,238,0.457,238,0.458,238,0.457,229,0.455,238,0.457,238,0.457,238,0.457,238,0.458,238
0.548,238,0.547,236,0.547,238,0.55,238,0.55,236.111,0.547,238,0.549,238,0.55,238,0.55,238,0.548,238,0.552,241,0.549,236,0.552,238,0.548,238,0.545,238,0.543,204,0.548,238,0.547,238,0.549,238,0.548,238,0.55,238,0.548,238,0.548,238,0.549,238,0.548,235,0.548,238,0.549,235.083,0.548,238,0.549,238,0.552,238,0.55,238,0.548,238,0.55,238,0.547,238,0.549,241,0.549,238,0.548,238,0.547,238,0.547,238,0.549,238,0.548,238,0.547,237,0.548,238,0.552,238,0.55,238,0.549,238,0.545,238,0.548,238,0.547,238,0.548,238,0.549,238,0.547,238,0.549,238,0.548,230.847,0.547,238,0.548,238,0.548,238,0.545,238,0.549,238,0.545,238,0.549,238,0.549,238,0.548,238,0.549,238,0.547,238,0.549,238,0.549,238,0.549,238,0.547,238,0.548,238,0.549,238,0.547,238,0.549,238,0.55,238,0.547,238,0.549,238,0.549,238,0.548,238,0.548,238,0.549,241,0.548,238,0.55,238,0.549,238,0.549,238,0.55,238,0.548,238,0.55,238,0.549,238,0.547,238,0.548,238,0.549,238,0.548,229,0.545,238,0.548,238,0.548,238,0.548,238,0.549,238
0.639,238,0.638,236.653,0.638,238,0.642,238,0.642,236.361,0.638,238,0.641,238,0.642,238,0.642,238,0.639,238,0.644,241,0.641,236.083,0.644,238,0.639,238,0.636,238,0.633,204.569,0.639,238,0.638,238,0.641,238,0.639,238,0.642,238,0.639,238.097,0.639,238,0.641,238,0.639,235.611,0.639,238,0.641,235.528,0.639,238,0.641,238,0.644,238,0.642,238,0.639,238,0.642,238,0.638,238,0.641,241,0.641,238,0.639,238.083,0.638,238,0.638,238,0.641,238,0.639,238,0.638,237.028,0.639,238,0.644,238.083,0.642,238,0.641,238,0.636,238,0.639,238,0.638,238,0.639,238,0.641,238,0.638,238,0.641,238,0.639,231,0.638,238,0.639,238,0.639,238,0.636,238,0.641,238,0.636,238,0.641,238,0.641,238,0.639,238,0.641,238,0.638,238,0.641,238,0.641,238,0.641,238,0.638,238,0.639,238.139,0.641,238,0.638,238,0.641,238,0.642,238,0.638,238,0.641,238,0.641,238,0.639,238,0.639,238.125,0.641,241,0.639,238,0.642,238,0.641,238.069,0.641,238,0.642,238,0.639,238.097,0.642,238,0.641,238,0.638,238,0.639,238,0.641,238,0.639,229,0.636,238,0.639,238.125,0.639,238,0.639,238,0.641,238
0.731,238.042,0.729,237,0.729,238.125,0.734,238.222,0.734,236.611,0.729,238.222,0.732,238.25,0.734,238.125,0.734,238.208,0.731,238.069,0.736,241,0.732,236.681,0.736,238.014,0.731,238.125,0.727,238.125,0.724,205,0.731,238,0.729,238.042,0.732,238.125,0.731,238.319,0.734,238.347,0.731,238.5,0.731,238.014,0.732,238.097,0.731,236,0.731,238.097,0.732,235.917,0.731,238.042,0.732,238.083,0.736,238.236,0.734,238.056,0.731,238,0.734,238,0.729,238,0.732,241,0.732,238.347,0.731,238.389,0.729,238.097,0.729,238.083,0.732,238.111,0.731,238.042,0.729,237.792,0.731,238.181,0.736,238.444,0.734,238.278,0.732,238.333,0.727,238.167,0.731,238.028,0.729,238.125,0.731,238,0.732,238,0.729,238.083,0.732,238.375,0.731,231.153,0.729,238.167,0.731,238,0.731,238.319,0.727,238,0.732,238.181,0.727,238.014,0.732,238.069,0.732,238,0.731,238.181,0.732,238.333,0.729,238.056,0.732,238.361,0.732,238.375,0.732,238.389,0.729,238.236,0.731,238.417,0.732,238.375,0.729,238,0.732,238.25,0.734,238.403,0.729,238.153,0.732,238.194,0.732,238.222,0.731,238.097,0.731,238.417,0.732,241,0.731,238.347,0.734,238.333,0.732,238.403,0.732,238.125,0.734,238.25,0.731,238.403,0.734,238.153,0.732,238,0.729,238.069,0.731,238,0.732,238.444,0.731,229,0.727,238.097,0.731,238.444,0.731,238.097,0.731,238,0.732,238
0.822,238.625,0.82,237,0.82,238.514,0.826,238.833,0.826,236.819,0.82,238.611,0.824,238.625,0.826,238.944,0.826,238.972,0.822,238.472,0.828,241.611,0.824,237,0.828,238.667,0.822,238.5,0.818,238.458,0.814,205,0.822,238.514,0.82,238.625,0.824,239,0.822,238.708,0.826,238.903,0.822,238.694,0.822,238.597,0.824,238.333,0.822,236,0.822,238.5,0.824,236,0.822,238.472,0.824,238.431,0.828,238.889,0.826,239,0.822,238.625,0.826,238.569,0.82,238.639,0.824,241.528,0.824,238.792,0.822,238.667,0.82,238.625,0.82,238.583,0.824,239,0.822,238.403,0.82,238,0.822,238.903,0.828,238.694,0.826,238.861,0.824,238.819,0.818,238.583,0.822,238.542,0.82,238.5,0.822,238.542,0.824,238.625,0.82,238.611,0.824,238.764,0.822,231.375,0.82,238.375,0.822,238.236,0.822,238.486,0.818,238.278,0.824,238.597,0.818,238.556,0.824,238.611,0.824,238.514,0.822,238.444,0.824,238.639,0.82,238.417,0.824,238.792,0.824,238.806,0.824,238.722,0.82,238.486,0.822,238.667,0.824,238.708,0.82,238.347,0.824,238.931,0.826,238.792,0.82,238.528,0.824,238.444,0.824,238.889,0.822,238.486,0.822,238.653,0.824,241.472,0.822,238.708,0.826,238.764,0.824,238.667,0.824,238.472,0.826,238.847,0.822,238.681,0.826,238.611,0.824,238.5,0.82,238.5,0.822,238.25,0.824,238.708,0.822,229,0.818,238.667,0.822,238.667,0.822,238.681,0.822,238.514,0.824,238.639
